method,target,year,rmse,runtime_sec
P_XGBoost(x),38,2017,3.8422251212176395,4.944645404815674
P_XGBoost(x),39,2017,2.6260614182304187,7.699256658554077
P_XGBoost(x),40,2017,3.547644676758581,9.557109355926514
P_XGBoost(x),41,2017,4.667835761853768,10.12771224975586
P_XGBoost(x),42,2017,2.486686670180065,8.360214233398438
P_XGBoost(x),43,2017,2.4888971974014393,4.505168914794922
P_XGBoost(x),44,2017,5.1881732052706795,3.618947744369507
P_XGBoost(x),38,2018,4.7891387826691645,3.6546201705932617
P_XGBoost(x),39,2018,4.781287393442217,3.564908981323242
P_XGBoost(x),40,2018,4.981125318758828,3.578641414642334
P_XGBoost(x),41,2018,4.5927523889085515,3.6111650466918945
P_XGBoost(x),42,2018,3.281384936931378,3.6585469245910645
P_XGBoost(x),43,2018,4.143258462626138,3.6632540225982666
P_XGBoost(x),44,2018,5.897380166248237,3.596153974533081
