method,target,year,rmse,runtime_sec
P_XGBoost(x),1,2017,3.5661833424161657,5.097990989685059
P_XGBoost(x),2,2017,4.250596338152086,4.8963775634765625
P_XGBoost(x),3,2017,3.508700791735681,5.071415901184082
P_XGBoost(x),4,2017,3.8480939649357464,4.947311639785767
P_XGBoost(x),5,2017,3.023793874348413,6.904466390609741
P_XGBoost(x),6,2017,2.7842403201732733,4.720580816268921
P_XGBoost(x),7,2017,4.0879274993764465,5.2258217334747314
P_XGBoost(x),8,2017,2.963791761740137,7.028570890426636
P_XGBoost(x),9,2017,3.6545043719572683,11.549938201904297
P_XGBoost(x),10,2017,3.807347235205791,17.93256139755249
P_XGBoost(x),11,2017,4.344468099195915,31.016998052597046
P_XGBoost(x),12,2017,3.6599825221995896,39.22100257873535
P_XGBoost(x),13,2017,3.1808276103055992,27.9394793510437
P_XGBoost(x),14,2017,3.5612279376862217,21.37087893486023
P_XGBoost(x),15,2017,2.8988879616816328,24.06434988975525
P_XGBoost(x),16,2017,2.2693581801705087,24.34447431564331
P_XGBoost(x),17,2017,6.453154007987208,34.23475432395935
P_XGBoost(x),18,2017,2.6095945010325483,30.356994152069092
P_XGBoost(x),19,2017,2.813750191450723,39.83123207092285
P_XGBoost(x),20,2017,3.289251192029806,30.797590017318726
P_XGBoost(x),21,2017,2.1590715505850544,30.795372486114502
P_XGBoost(x),22,2017,3.7568731678945397,30.592731952667236
P_XGBoost(x),23,2017,3.9083324043631213,32.828542947769165
P_XGBoost(x),24,2017,3.1711591280063613,28.589365005493164
P_XGBoost(x),25,2017,4.984628942721796,31.797807693481445
P_XGBoost(x),26,2017,3.0318113148017742,29.44068169593811
P_XGBoost(x),27,2017,3.215848520534463,32.117541790008545
P_XGBoost(x),28,2017,2.435477776908455,33.19229054450989
P_XGBoost(x),29,2017,2.8231451134700967,28.475144863128662
P_XGBoost(x),30,2017,2.8320159636201656,32.833675146102905
P_XGBoost(x),31,2017,2.8467682826807073,36.13465690612793
P_XGBoost(x),32,2017,2.6788606265420496,38.199732303619385
P_XGBoost(x),33,2017,4.008361146372949,33.505263328552246
P_XGBoost(x),34,2017,3.103328322240085,27.84320306777954
P_XGBoost(x),35,2017,2.89837750000455,16.900095462799072
P_XGBoost(x),36,2017,2.9617476818531827,18.807607889175415
P_XGBoost(x),37,2017,4.47529436304041,15.973306655883789
P_XGBoost(x),38,2017,3.9539960371655303,16.903512954711914
P_XGBoost(x),39,2017,2.6706500345409165,16.98346471786499
P_XGBoost(x),40,2017,3.5883064437896324,20.107621669769287
P_XGBoost(x),41,2017,4.717445898254247,18.046972274780273
P_XGBoost(x),42,2017,2.454802165346978,15.00522255897522
P_XGBoost(x),43,2017,2.457347606395114,13.829017400741577
P_XGBoost(x),44,2017,5.147818675955622,18.47490382194519
P_XGBoost(x),45,2017,3.4001022289844673,16.075748205184937
P_XGBoost(x),46,2017,3.1487952178243903,15.409038543701172
P_XGBoost(x),47,2017,2.9229659118928617,19.912891387939453
P_XGBoost(x),48,2017,4.231914922648823,17.49753475189209
P_XGBoost(x),49,2017,4.3811066278282835,19.044852256774902
P_XGBoost(x),50,2017,4.03184594063908,23.542272090911865
P_XGBoost(x),51,2017,3.3644929007253612,24.127418994903564
P_XGBoost(x),52,2017,3.4701456637901766,24.28060245513916
P_XGBoost(x),53,2017,3.264399069976551,22.047146797180176
P_XGBoost(x),54,2017,7.059418034701235,18.473548650741577
P_XGBoost(x),55,2017,3.9717307843447056,21.35677409172058
P_XGBoost(x),56,2017,3.887150229683104,19.63112735748291
P_XGBoost(x),57,2017,4.745609445124631,20.24072027206421
P_XGBoost(x),58,2017,7.9917575032387385,22.20414972305298
P_XGBoost(x),59,2017,8.018098595935095,19.090587854385376
P_XGBoost(x),60,2017,4.552002944604827,24.128074407577515
P_XGBoost(x),61,2017,3.8221624626882673,20.14131474494934
P_XGBoost(x),62,2017,6.574940360739222,20.347278833389282
P_XGBoost(x),63,2017,3.912709932739969,18.392639636993408
P_XGBoost(x),64,2017,4.943393079858328,24.3227481842041
P_XGBoost(x),65,2017,4.189690745570817,22.20963740348816
P_XGBoost(x),66,2017,4.105424427392603,23.717602014541626
